smiles,Mol ID,canonical_smiles
COC1=CC=CC(C2=NC(C(=O)NC3=NC4=C(C=C(F)C(F)=C4)N3)=C(C)N2)=C1,MOL_717,COc1cccc(-c2nc(C(=O)Nc3nc4cc(F)c(F)cc4[nH]3)c(C)[nH]2)c1
CN1N=CC=C1C1=NC(C2=CC(F)=CC(F)=C2)=CS1,MOL_718,Cn1nccc1-c1nc(-c2cc(F)cc(F)c2)cs1
CC1=NC(C2=CC(N(C)C(C(=O)NC3CCC3)C3=CSC(C4=NC=CC=N4)=N3)=CC=C2)=CS1,MOL_719,Cc1nc(-c2cccc(N(C)C(C(=O)NC3CCC3)c3csc(-c4ncccn4)n3)c2)cs1
NC1=NC2=CC=C(C3=CC=C([N+](=O)[O-])S3)C=C2O1,MOL_720,Nc1nc2ccc(-c3ccc([N+](=O)[O-])s3)cc2o1
O=C1C=C(C2=CC(C3=CC=CC=C3)=NO2)C2=CC=CN=C2N1,MOL_721,O=c1cc(-c2cc(-c3ccccc3)no2)c2cccnc2[nH]1
CC(C)C1=CC=C(C2=CSC(=NC3CCC(=O)NC3)N2CC2=CC=C3OCCC3=C2)C=C1,MOL_722,CC(C)c1ccc(-c2csc(=NC3CCC(=O)NC3)n2Cc2ccc3c(c2)CCO3)cc1
NC1=NC=CN=C1C1=CN(CC2=CSC(C3=CC=CO3)=N2)N=N1,MOL_723,Nc1nccnc1-c1cn(Cc2csc(-c3ccco3)n2)nn1
CC(=O)NCCC1=CC=C(C2=CSC(C3=NC=C(N)N=C3)=N2)C=C1,MOL_724,CC(=O)NCCc1ccc(-c2csc(-c3cnc(N)cn3)n2)cc1
COC1=CC=CC(Cl)=C1C1=NOC(C)=C1C(=O)NC1=C2C=CNC2=NC(C)=N1,MOL_725,COc1cccc(Cl)c1-c1noc(C)c1C(=O)Nc1nc(C)nc2[nH]ccc12
CN1CCCC(C(=O)N2CCOC(CC3=CN(C4=NC5=CC=C(F)C=C5S4)N=N3)C2)C1=O,MOL_726,CN1CCCC(C(=O)N2CCOC(Cc3cn(-c4nc5ccc(F)cc5s4)nn3)C2)C1=O
CC1=CC(F)=CC=C1C1=NC(C2=CN(C)N=C2C)=CS1,MOL_727,Cc1cc(F)ccc1-c1nc(-c2cn(C)nc2C)cs1
C[C@H]1CO[C@@](C)(C(=O)N2CCN(C3=NC(C4=NC=CC5=CC=CC=C45)=CS3)CC2)CO1,MOL_728,C[C@H]1CO[C@@](C)(C(=O)N2CCN(c3nc(-c4nccc5ccccc45)cs3)CC2)CO1
CN1C=C(C2=NC(COC(=O)C3=CSC(C4=CC=C(F)C(F)=C4)=N3)=CS2)C=N1,MOL_729,Cn1cc(-c2nc(COC(=O)c3csc(-c4ccc(F)c(F)c4)n3)cs2)cn1
COC1=CC=CC(C2=CSC(NC(=O)C(=O)N3CCOC(C4=NNC(C)=N4)C3)=N2)=C1,MOL_730,COc1cccc(-c2csc(NC(=O)C(=O)N3CCOC(c4n[nH]c(C)n4)C3)n2)c1
CCNC(=O)C1=CC=CC(C2=C(NCC3=CC=CC=C3)N3C=CC(CCOC)=CC3=N2)=C1,MOL_731,CCNC(=O)c1cccc(-c2nc3cc(CCOC)ccn3c2NCc2ccccc2)c1
CC(NC(=O)C1=NC(C(C)(C)O)=CC=C1)C1=NC(C2=CNC3=NC(Cl)=CC=C23)=CS1,MOL_732,CC(NC(=O)c1cccc(C(C)(C)O)n1)c1nc(-c2c[nH]c3nc(Cl)ccc23)cs1
O=C1CCC(C2=CC(NC(=O)C3=CN=CC(C4=CC=C5OCCC5=C4)=C3)=CC=C2)C(=O)N1,MOL_733,O=C1CCC(c2cccc(NC(=O)c3cncc(-c4ccc5c(c4)CCO5)c3)c2)C(=O)N1
NC1=CC=CC=C1C1=NC(C2=CC=C(Br)C=N2)=CS1,MOL_734,Nc1ccccc1-c1nc(-c2ccc(Br)cn2)cs1
CC(F)(F)CN1C=CC(C(=O)NC2(C3=CSC(C4=CNC5=CC=CC=C45)=N3)CCC2)=N1,MOL_735,CC(F)(F)Cn1ccc(C(=O)NC2(c3csc(-c4c[nH]c5ccccc45)n3)CCC2)n1
CN1C=CC(C2=CSC(C3=CSC(CNC(=O)C4=CC=C(O)C5=NC=CC=C45)=N3)=N2)=N1,MOL_736,Cn1ccc(-c2csc(-c3csc(CNC(=O)c4ccc(O)c5ncccc45)n3)n2)n1
