smiles,Similarity,MW,LogP,HBD,HBA,TPSA,RotB
CC1=CC(C2=CSC(NC3CCN(C(=O)C(C4=CC=CN=C4)C(C)C)C3)=N2)=CC=N1,0.1941747572815534,421.5700000000001,4.361120000000003,1.0,6.0,71.01,6.0
CCC1=NNC(=O)C(C(=O)N(C)C(C)C2=NC(C3=CN(C)C4=CC=CC=C34)=CS2)=C1CC,0.1941747572815534,449.58000000000015,4.343100000000004,1.0,5.0,83.88,6.0
COC1=CC=CN=C1C(C)NC1=NC(C)=NC(N2CCC3=C(C2)N=NN3C2=CC=CC=C2)=C1,0.1941747572815534,442.5270000000002,3.5051200000000025,1.0,8.0,93.88,6.0
CN1C=CC(=O)C(C(=O)N2CCO[C@@H](C3=CN(C4=CC=CC5=CN=CC=C45)N=N3)C2)=C1,0.1941747572815534,416.4410000000001,1.7278999999999993,0.0,6.0,95.14000000000001,3.0
O=C(C1=NC=CN2N=CC=C12)N1CCC(NC2=NC(C3=CC=NC=C3Cl)=CS2)C1,0.1941747572815534,425.9050000000001,3.227800000000001,1.0,7.0,88.31000000000002,4.0
CNC1=NC=CC(C(=O)N2CCCC(C3=NC(C4=CNC5=NC=CC=C45)=CS3)C2)=N1,0.1941747572815534,419.514,3.5379000000000023,2.0,7.0,99.69,4.0
COC1=CC=CN=C1C(=O)NC1(C2=NC(C3=CNC(C(=O)N4CCCC4)=C3)=CS2)CC1,0.1941747572815534,437.5250000000003,3.196900000000002,2.0,6.0,100.21,6.0
COC(=O)C1=CC(C(=O)N2CC(CNC3=CC=NC(C4=NC=CC=N4)=N3)CC2C)=CN1C,0.19387755102040816,435.48800000000017,2.0214,1.0,8.0,115.13,6.0
COC1=CC=CC=C1C1=NOC(C(C)NC2=CC=NC3=NC(N)=CC=C23)=N1,0.1935483870967742,362.3930000000001,3.4437000000000006,2.0,8.0,111.98,5.0
COC(=O)CC1=CC=CC(C(=O)NC2=NC(C3=CC=C(F)C(F)=C3)=CC=N2)=C1,0.1935483870967742,383.35400000000004,3.3896000000000015,1.0,5.0,81.18,5.0
COCC1=NC(C2CC2)=NC=C1C1=CNC2=NC=CC=C12,0.19318181818181818,280.331,3.043700000000001,1.0,4.0,63.690000000000005,4.0
CCC1CN(C(=O)c2cc(-c3nc(-c4n[nH]c5ncccc45)cs3)c(=O)n(C)c2)CCO1,0.1926605504587156,450.5240000000002,2.698100000000001,1.0,7.0,106.00000000000001,4.0
COC(=O)C1=CC(C2=CSC(CC3CCCN(C(=O)C4=CC5=CC=CN5N=C4)C3)=N2)=CN1C,0.1926605504587156,463.56300000000016,3.6778000000000013,0.0,6.0,81.72999999999999,5.0
CNC1=CC=C(C(=O)N2CCC(C3=CSC(C4=CC=CN=C4OC)=N3)CC23CC3)C=N1,0.19230769230769232,435.5530000000002,4.2028000000000025,1.0,7.0,80.24000000000001,5.0
COC1=CC(C(=O)NCC2CN(C3=NC(C4=CC=CC=C4C)=NS3)CCO2)=CC=N1,0.19230769230769232,425.5140000000002,2.552320000000001,1.0,8.0,89.47,6.0
CC(=O)C1=NC(C(=O)N2CCC(NC3=NC(C4=CC(F)=CC=C4)=CC=N3)C(C)C2)=CS1,0.19230769230769232,439.51600000000013,3.904500000000003,1.0,7.0,88.08,5.0
CC1=CN=C2NN=C(C(=O)N3CCN(C4=NC(C5=CC=CN=C5)=NC(C)=C4)CC(O)C3)C2=C1,0.19230769230769232,444.4990000000002,1.7500399999999998,2.0,8.0,124.02000000000001,3.0
COC1=NC=CC=C1CN(C)C1=C2C=NN(C)C2=NC(NCC2=CC(N)=CC=C2)=N1,0.1919191919191919,404.4780000000001,2.5976,2.0,8.0,107.00999999999999,7.0
CN1CCN(C2=NC=CC=C2CNC(=O)C2=CSC(C3=CC(Cl)=CC=C3)=N2)CC1,0.1919191919191919,427.9610000000002,3.540300000000002,1.0,6.0,61.36,5.0
COC1=CC=CC=C1[C@H](C)NC1=C2C=NN(C)C2=NC(NCC2=C3N(C)C=CN3N=C2)=N1,0.1919191919191919,431.50400000000013,3.143300000000001,2.0,7.0,99.12,7.0
COC(=O)C1=CC(C(=O)N2CCN(C)C(C3=CN(C4=NC=C(F)C=N4)N=N3)C2)=CN1C,0.1919191919191919,428.4280000000001,0.45039999999999925,0.0,8.0,111.27000000000001,4.0
COC1=CC=CC=C1[C@@H](C)NC1=NC2=C(COC2)C(N2CCC3=NC(N)=NC(N)=C3C2)=N1,0.1919191919191919,434.50400000000025,2.2055999999999996,3.0,10.0,137.32999999999998,5.0
COC1=CC=CC=C1[C@@H](O)CN1C=C(C2=CN=C3NC=CC3=C2)N=N1,0.19148936170212766,335.367,2.5636,2.0,5.0,88.85000000000001,5.0
N#CCCc1ccc(CC2CN(c3ncnc4cnccc34)C2)c(O)c1,0.19148936170212766,345.4060000000001,2.8654800000000007,1.0,6.0,85.93,5.0
